Date,BuildingPermitsPhillyMSA
1995-07-01,1255.6452855755
1995-08-01,1368.80662753985
1995-09-01,1472.10379954135
1995-10-01,1396.26347062417
1995-11-01,1463.27718917789
1995-12-01,1301.78951256199
1996-01-01,994.7049510591161
1996-02-01,1169.53215501197
1996-03-01,1413.14548095999
1996-04-01,1489.52384290222
1996-05-01,1420.0160700551098
1996-06-01,1350.21576010849
1996-07-01,1580.61397347832
1996-08-01,1379.41863270251
1996-09-01,1391.33338003932
1996-10-01,1879.1448647335899
1996-11-01,1457.23655990591
1996-12-01,1418.67382119239
1997-01-01,1551.3277921388599
1997-02-01,1956.7439831476897
1997-03-01,1489.41127692515
1997-04-01,1474.4396811429801
1997-05-01,1529.28693444759
1997-06-01,1562.5838939331197
1997-07-01,1388.9159106083403
1997-08-01,1357.28026699473
1997-09-01,1714.70745084836
1997-10-01,1692.7851847735199
1997-11-01,1497.78840235735
1997-12-01,1528.8615884703
1998-01-01,2104.02673349646
1998-02-01,2004.6146166515698
1998-03-01,1592.9692898137303
1998-04-01,1596.81574316424
1998-05-01,1478.8975716679402
1998-06-01,1809.07983741822
1998-07-01,1566.09622337245
1998-08-01,1536.06303131958
1998-09-01,1628.55649695935
1998-10-01,1520.8804082476402
1998-11-01,1521.8487611229998
1998-12-01,1906.99985331178
1999-01-01,1610.6036688106
1999-02-01,1621.70188725866
1999-03-01,1797.93349026279
1999-04-01,1779.9091612334303
1999-05-01,1655.87183112235
1999-06-01,1816.27976913852
1999-07-01,1692.54960736983
1999-08-01,1707.31000759172
1999-09-01,1485.6930909761302
1999-10-01,1423.3097400781198
1999-11-01,1799.1703827311899
1999-12-01,1693.8837690611401
2000-01-01,1891.35102505237
2000-02-01,1568.92480221879
2000-03-01,1740.1099928226001
2000-04-01,1215.4156110838198
2000-05-01,1874.00483494284
2000-06-01,1460.5698190090197
2000-07-01,1111.98458575161
2000-08-01,1838.1205005287698
2000-09-01,1825.4253466710397
2000-10-01,1666.86819096411
2000-11-01,1490.21307802123
2000-12-01,1365.38353072535
2001-01-01,1342.71455646613
2001-02-01,1250.3781418776
2001-03-01,1388.48649154901
2001-04-01,1530.6618339573401
2001-05-01,1471.7724497652403
2001-06-01,1408.89955897193
2001-07-01,1473.61576383121
2001-08-01,1304.20497681769
2001-09-01,1349.5840445895699
2001-10-01,2034.60107189742
2001-11-01,1400.8846084719
2001-12-01,1479.23363058565
2002-01-01,1409.5647216972302
2002-02-01,1735.2311761426001
2002-03-01,1256.85211461581
2002-04-01,1615.93760158495
2002-05-01,1554.4860372100197
2002-06-01,1452.8133431644699
2002-07-01,1558.42488970775
2002-08-01,1484.4733369257299
2002-09-01,1562.603278557
2002-10-01,1668.4219475722598
2002-11-01,1370.4853292894802
2002-12-01,1463.5659471015197
2003-01-01,1613.18631733875
2003-02-01,2271.86033410857
2003-03-01,1064.4429122729
2003-04-01,1383.7258439199402
2003-05-01,1483.5960692491199
2003-06-01,1332.82826000678
2003-07-01,1528.02316389525
2003-08-01,1644.22087745505
2003-09-01,1524.05109268114
2003-10-01,2103.78621144479
2003-11-01,2068.23607538121
2003-12-01,2159.29511668936
2004-01-01,1374.6971597471697
2004-02-01,1455.83993861932
2004-03-01,2279.23476933817
2004-04-01,1751.3552225424899
2004-05-01,1752.78744494493
2004-06-01,1741.48984264411
2004-07-01,2135.93708286099
2004-08-01,1866.6915162159
2004-09-01,2583.56090468828
2004-10-01,1469.2432517514599
2004-11-01,1518.4052460012301
2004-12-01,1399.55877102499
2005-01-01,1424.78357939691
2005-02-01,2054.08406550892
2005-03-01,1755.3749564408702
2005-04-01,1628.38586704624
2005-05-01,1634.5934090158498
2005-06-01,1832.58699057487
2005-07-01,1775.3604387317398
2005-08-01,1845.2773901639498
2005-09-01,1870.75862188793
2005-10-01,1484.01738278198
2005-11-01,1947.9434337950897
2005-12-01,1503.81940245115
2006-01-01,1678.05719405709
2006-02-01,1518.8953345278
2006-03-01,1565.92369594269
2006-04-01,1378.6146984669901
2006-05-01,1214.1405454559301
2006-06-01,1389.62303277064
2006-07-01,1317.05661232901
2006-08-01,1198.30206230789
2006-09-01,1156.21209171694
2006-10-01,991.496075037566
2006-11-01,1061.63984040614
2006-12-01,998.9908683250779
2007-01-01,1486.4008663998497
2007-02-01,1131.5364094819301
2007-03-01,1132.98003261358
2007-04-01,1081.91569162476
2007-05-01,1135.95516639752
2007-06-01,1122.39100760989
2007-07-01,934.457345099467
2007-08-01,1462.67551734577
2007-09-01,982.943714565089
2007-10-01,1097.89286411252
2007-11-01,733.6879065617211
2007-12-01,1025.16674259364
2008-01-01,1089.3626218818401
2008-02-01,984.937566770176
2008-03-01,931.761447760127
2008-04-01,1004.1293721120301
2008-05-01,899.718994863504
2008-06-01,979.768762639274
2008-07-01,688.974694065545
2008-08-01,686.7821416939299
2008-09-01,785.749042494532
2008-10-01,912.9563724627901
2008-11-01,488.213317456661
2008-12-01,498.65804437676496
2009-01-01,329.959824486073
2009-02-01,417.62954297511703
2009-03-01,440.19884845987
2009-04-01,523.666680888497
2009-05-01,595.7984877399659
2009-06-01,453.22030098878304
2009-07-01,614.00906993047
2009-08-01,554.86267598631
2009-09-01,615.924156933268
2009-10-01,670.0614301287819
2009-11-01,628.1850285351541
2009-12-01,849.693524582302
2010-01-01,623.351093095656
2010-02-01,605.653793042158
2010-03-01,659.20455880251
2010-04-01,533.404416450203
2010-05-01,506.035381898789
2010-06-01,682.584729838404
2010-07-01,626.666943364098
2010-08-01,899.926412647183
2010-09-01,627.227941135364
2010-10-01,521.935029190664
2010-11-01,416.934281863648
2010-12-01,605.3759661605291
2011-01-01,466.16670273989797
2011-02-01,588.484446339227
2011-03-01,618.92417879054
2011-04-01,433.58438426148
2011-05-01,615.369877396227
2011-06-01,541.492085033083
2011-07-01,497.620880130958
2011-08-01,569.746827776509
2011-09-01,512.025486696748
2011-10-01,673.310256351857
2011-11-01,1032.5065722223599
2011-12-01,602.0100116656671
2012-01-01,978.2553841094709
2012-02-01,642.36577053572
2012-03-01,618.639621952706
2012-04-01,937.9242916955251
2012-05-01,730.817647218243
2012-06-01,586.643022016471
2012-07-01,1062.83112540464
2012-08-01,667.764990027952
2012-09-01,716.326642919319
2012-10-01,617.061761990799
2012-11-01,574.479973668391
2012-12-01,782.286880976923
2013-01-01,919.256084840894
2013-02-01,941.914002569253
2013-03-01,1164.88702570215
2013-04-01,859.950654524912
2013-05-01,821.454603872847
2013-06-01,785.358552981692
2013-07-01,959.902551884212
2013-08-01,1242.20498137485
2013-09-01,968.584493098161
2013-10-01,823.257768258323
2013-11-01,1047.99966278987
2013-12-01,931.9357174828681
2014-01-01,1079.65079426479
2014-02-01,783.078784417598
2014-03-01,995.8491397735299
2014-04-01,1343.68129685188
2014-05-01,1041.4358242609
2014-06-01,1068.107534831
2014-07-01,1154.26663815359
2014-08-01,1105.4948695231199
2014-09-01,1039.89014196231
2014-10-01,889.6904134507761
2014-11-01,1402.10745961646
2014-12-01,1046.67176060865
2015-01-01,738.2173634208231
2015-02-01,771.5035922850369
2015-03-01,838.066696674292
2015-04-01,1149.89958802657
2015-05-01,1011.67781174911
2015-06-01,1359.44155705776
2015-07-01,1148.3720959754198
2015-08-01,1166.2532136109699
2015-09-01,1318.36679667396
2015-10-01,1296.5375168708802
2015-11-01,1076.8232743442402
2015-12-01,957.388842141896
2016-01-01,946.7666625733709
2016-02-01,1107.06868775871
2016-03-01,1012.8247035161301
2016-04-01,869.531862162471
2016-05-01,1000.6268975570099
2016-06-01,1122.17031898255
2016-07-01,834.151571658266
2016-08-01,1017.01858351837
2016-09-01,1067.89773953954
2016-10-01,1081.7470837090302
2016-11-01,1021.0783444530801
2016-12-01,1073.7264220145
2017-01-01,1095.17048499101
2017-02-01,1054.17568012864
2017-03-01,997.2187248988071
2017-04-01,1119.95008968967
2017-05-01,1572.8419403579
2017-06-01,1167.83751502374
2017-07-01,890.3361951546409
2017-08-01,826.323034126132
2017-09-01,1148.25541822312
2017-10-01,1162.8689977423
2017-11-01,1158.37290824769
2017-12-01,1111.5313582797999
2018-01-01,897.677594311548
2018-02-01,1062.50641669952
2018-03-01,1168.6766733524698
2018-04-01,1068.86189002825
2018-05-01,1324.07004157369
2018-06-01,1017.9751664888099
2018-07-01,1309.19921993547
2018-08-01,1037.18969883407
2018-09-01,997.498329566977
2018-10-01,1417.90831900793
2018-11-01,1075.16385661878
2018-12-01,889.8984581235069
2019-01-01,1165.97068101621
2019-02-01,1395.7940809660902
2019-03-01,1227.02825046259
2019-04-01,1417.7747892473199
2019-05-01,1010.1708902959
2019-06-01,977.067612803351
2019-07-01,1042.13447681505
2019-08-01,2656.3733570577397
2019-09-01,969.7777547414349
2019-10-01,759.834302540309
2019-11-01,762.169885028979
2019-12-01,1584.79096788871
2020-01-01,1350.24227033138
2020-02-01,1124.86169532785
2020-03-01,964.750749622505
2020-04-01,684.06521827941
2020-05-01,1014.47129211834
2020-06-01,1063.16359559448
2020-07-01,1385.30855402794
2020-08-01,1260.50626782295
2020-09-01,1133.2858085468301
2020-10-01,1301.3956004495199
2020-11-01,1756.3391401515398
2020-12-01,1479.6053508469101
2021-01-01,2666.18765898366
2021-02-01,2509.81529369048
2021-03-01,2632.7258744379897
2021-04-01,1874.9104034547602
