fiscal_year,Five Year Plan,Controller,tax_name
2002,108093938.00000004,108093938.00000004,Sales
2003,107971160.99999999,107971160.99999999,Sales
2004,107969288.99999991,107969288.99999991,Sales
2005,119879314.0,119879314.0,Sales
2006,127817072.00000004,127817072.00000004,Sales
2007,132572245.99999993,132572245.99999993,Sales
2008,137275153.00000012,137275153.00000012,Sales
2009,128231889.99999993,128231889.99999993,Sales
2010,240142451.5,240142451.5,Sales
2011,244584730.0000001,244584730.0000001,Sales
2012,253523160.99999994,253523160.99999994,Sales
2013,257549829.99999976,257549829.99999976,Sales
2014,263049441.99999997,263049441.99999997,Sales
2015,274450831.8200003,274450831.8200003,Sales
2016,291045035.3000001,291045035.3000001,Sales
2017,309017296.8399999,309017296.8399999,Sales
2018,318819876.00000006,318819876.00000006,Sales
2019,345944690.00000024,345944690.00000024,Sales
2020,325027275.98,325027275.98,Sales
2021,351064213.9999997,351064213.9999997,Sales
2022,398694050.6099997,398694050.6099997,Sales
2023,411885133.3615001,411885133.3615001,Sales
2024,428154596.0,437272711.63111496,Sales
2025,446094274.0,452335753.3916435,Sales
2026,463001247.0,464051490.8482345,Sales
2027,479437791.0,477170565.4854851,Sales
2028,496033245.0,489467880.26108223,Sales
1997,14485270.970000016,14485270.970000016,Parking
1998,29595512.279999997,29595512.279999997,Parking
1999,31365354.20999999,31365354.20999999,Parking
2000,33072186.690000005,33072186.690000005,Parking
2001,38540646.960000016,38540646.960000016,Parking
2002,37937878.150000006,37937878.150000006,Parking
2003,38742517.32000003,38742517.32000003,Parking
2004,42454753.26,42454753.26,Parking
2005,45033697.79000003,45033697.79000003,Parking
2006,47772637.44999997,47772637.44999997,Parking
2007,49655836.309999995,49655836.309999995,Parking
2008,54764182.779999994,54764182.779999994,Parking
2009,69455224.67999999,69455224.67999999,Parking
2010,69177243.33999996,69177243.33999996,Parking
2011,70072893.45000003,70072893.45000003,Parking
2012,69458475.66000003,69458475.66000003,Parking
2013,71790713.56999998,71790713.56999998,Parking
2014,73723787.05999997,73723787.05999997,Parking
2015,78140737.99999999,78140737.99999999,Parking
2016,92664524.13000007,92664524.13000007,Parking
2017,96105353.09000005,96105353.09000005,Parking
2018,96472454.88999994,96472454.88999994,Parking
2019,99312107.12000005,99312107.12000005,Parking
2020,77266072.49000007,77266072.49000007,Parking
2021,53211828.94,53211828.94,Parking
2022,86621053.29000002,86621053.29000002,Parking
2023,101588999.99999991,101588999.99999991,Parking
2024,100087000.0,109684983.55321851,Parking
2025,103841000.0,113157810.86916444,Parking
2026,108192000.0,116948169.1264463,Parking
2027,112379000.0,121205961.50503662,Parking
2028,116750000.0,125491853.095753,Parking
1997,3971147.579999999,3971147.579999999,Amusement
1998,9401778.86,9401778.86,Amusement
1999,9793295.330000004,9793295.330000004,Amusement
2000,11541685.470000008,11541685.470000008,Amusement
2001,12940755.559999995,12940755.559999995,Amusement
2002,13835783.089999998,13835783.089999998,Amusement
2003,14140070.699999988,14140070.699999988,Amusement
2004,18312259.36000001,18312259.36000001,Amusement
2005,13562317.519999994,13562317.519999994,Amusement
2006,16970013.78,16970013.78,Amusement
2007,16454075.830000006,16454075.830000006,Amusement
2008,17983684.139999997,17983684.139999997,Amusement
2009,21379281.959999997,21379281.959999997,Amusement
2010,21850376.440000024,21850376.440000024,Amusement
2011,20766693.28999999,20766693.28999999,Amusement
2012,21910780.729999997,21910780.729999997,Amusement
2013,19080907.769999992,19080907.769999992,Amusement
2014,19973564.309999987,19973564.309999987,Amusement
2015,19004731.0,19004731.0,Amusement
2016,19397101.469999995,19397101.469999995,Amusement
2017,20577296.349999994,20577296.349999994,Amusement
2018,22969948.379999995,22969948.379999995,Amusement
2019,26405839.810000002,26405839.810000002,Amusement
2020,18445869.560000002,18445869.560000002,Amusement
2021,2918178.6399999973,2918178.6399999973,Amusement
2022,26054690.65,26054690.65,Amusement
2023,32314999.999999978,32314999.999999978,Amusement
2024,33404000.0,33305299.063654758,Amusement
2025,34296000.0,35108267.166171595,Amusement
2026,35061000.0,36852161.046137564,Amusement
2027,35780000.0,38666608.057103746,Amusement
2028,36510000.0,40569773.26629501,Amusement
1997,,,RTT
1998,,,RTT
1999,,,RTT
2000,18593607.583181154,18593607.583181154,RTT
2001,46577309.678174846,46577309.678174846,RTT
2002,70523128.8909505,70523128.8909505,RTT
2003,102291312.9037626,102291312.9037626,RTT
2004,136015652.7057159,136015652.7057159,RTT
2005,159656334.25926608,159656334.25926608,RTT
2006,199924597.48624316,199924597.48624316,RTT
2007,197960367.27021745,197960367.27021745,RTT
2008,166430782.23880258,166430782.23880258,RTT
2009,118443855.78302525,118443855.78302525,RTT
2010,117730305.04622373,117730305.04622373,RTT
2011,120077317.67114612,120077317.67114612,RTT
2012,134075159.17068855,134075159.17068855,RTT
2013,151254748.0698462,151254748.0698462,RTT
2014,178675793.58816028,178675793.58816028,RTT
