Date,ConsumerConfidence
1976-03-01,99.7536749881011
1976-04-01,99.8019285157752
1976-05-01,99.9587292771909
1976-06-01,100.159534398287
1976-07-01,100.304109983079
1976-08-01,100.313182612639
1976-09-01,100.241320379166
1976-10-01,100.159245745172
1976-11-01,100.117083265706
1976-12-01,100.117819711088
1977-01-01,100.163489305654
1977-02-01,100.258460042851
1977-03-01,100.367786849945
1977-04-01,100.446946400383
1977-05-01,100.457215857457
1977-06-01,100.411218873426
1977-07-01,100.314383016326
1977-08-01,100.162663637893
1977-09-01,99.991106614543
1977-10-01,99.8405207811133
1977-11-01,99.7439880083081
1977-12-01,99.6924020914313
1978-01-01,99.6585918490232
1978-02-01,99.576497365567
1978-03-01,99.4353216290393
1978-04-01,99.4340346885341
1978-05-01,99.4587940442412
1978-06-01,99.4221434007401
1978-07-01,99.3951409386594
1978-08-01,99.2940298663606
1978-09-01,99.1968795786952
1978-10-01,98.9619655681759
1978-11-01,98.5662852932062
1978-12-01,98.2077211192889
1979-01-01,98.1817845957842
1979-02-01,98.1661037963184
1979-03-01,97.9704565839796
1979-04-01,97.7696804332906
1979-05-01,97.6355642959983
1979-06-01,97.4479860550851
1979-07-01,97.282462521654
1979-08-01,97.3201572581927
1979-09-01,97.3617170444832
1979-10-01,97.2843765812188
1979-11-01,97.2659008423333
1979-12-01,97.3067847029687
1980-01-01,97.3935480266997
1980-02-01,97.1802813872492
1980-03-01,96.6259794864491
1980-04-01,96.1957395146623
1980-05-01,96.1599620326514
1980-06-01,96.5659963402943
1980-07-01,97.1532351683134
1980-08-01,97.7918599026054
1980-09-01,98.3300598012374
1980-10-01,98.5588212115639
1980-11-01,98.4460975293994
1980-12-01,98.0649354160578
1981-01-01,97.9113592239964
1981-02-01,97.8132030687182
1981-03-01,97.9163982737789
1981-04-01,98.2400569697961
1981-05-01,98.5250037732762
1981-06-01,98.6221455532602
1981-07-01,98.6781875099428
1981-08-01,98.6523064657865
1981-09-01,98.3807916991209
1981-10-01,97.9770426381728
1981-11-01,97.6082841875759
1981-12-01,97.56140397653
1982-01-01,97.6703850451987
1982-02-01,97.5804150782632
1982-03-01,97.4474800311421
1982-04-01,97.4852615406579
1982-05-01,97.5549994158906
1982-06-01,97.5500998946476
1982-07-01,97.5677633487953
1982-08-01,97.6966547829944
1982-09-01,97.9630355434681
1982-10-01,98.2018718838023
1982-11-01,98.2611170865718
1982-12-01,98.2576745631616
1983-01-01,98.3612650236308
1983-02-01,98.7737324420666
1983-03-01,99.4444294106924
1983-04-01,100.164617440616
1983-05-01,100.64500329295
1983-06-01,100.797218108232
1983-07-01,100.760299273267
1983-08-01,100.615724536544
1983-09-01,100.496740517363
1983-10-01,100.503640141026
1983-11-01,100.702063867739
1983-12-01,101.043690394773
1984-01-01,101.385041952261
1984-02-01,101.51997442604
1984-03-01,101.550354262828
1984-04-01,101.425282462675
1984-05-01,101.3451727872
1984-06-01,101.295477887354
1984-07-01,101.368164559467
1984-08-01,101.497633390355
1984-09-01,101.52078315452
1984-10-01,101.349248958964
1984-11-01,101.163481501537
1984-12-01,101.029140431189
1985-01-01,101.010452131233
1985-02-01,100.966638976901
1985-03-01,100.944724285175
1985-04-01,100.945775051473
1985-05-01,100.94681664137
1985-06-01,101.00839653556
1985-07-01,100.935630927163
1985-08-01,100.783833941865
1985-09-01,100.629576270608
1985-10-01,100.529389690439
1985-11-01,100.637819898679
1985-12-01,100.861086769049
1986-01-01,101.050361119141
1986-02-01,101.140546210885
1986-03-01,101.166164143942
1986-04-01,101.207375601045
1986-05-01,101.267815682709
1986-06-01,101.366133519449
1986-07-01,101.306596283712
1986-08-01,101.123843909411
1986-09-01,100.949333863211
1986-10-01,100.856181706036
1986-11-01,100.671622768429
1986-12-01,100.516690631765
1987-01-01,100.483908346678
1987-02-01,100.514650152076
1987-03-01,100.588811387593
1987-04-01,100.669930130134
1987-05-01,100.703435632529
1987-06-01,100.776895161553
1987-07-01,100.881347752058
1987-08-01,100.886117794052
1987-09-01,100.699864580824
1987-10-01,100.350290220142
1987-11-01,100.073846615255
1987-12-01,100.146373827366
1988-01-01,100.41131038077
1988-02-01,100.653692374785
1988-03-01,100.817948091475
1988-04-01,100.862062233863
1988-05-01,100.955368580083
1988-06-01,101.024114354037
1988-07-01,101.092611924189
1988-08-01,101.202424750583
1988-09-01,101.186982187324
1988-10-01,101.044497817311
1988-11-01,100.941343736469
1988-12-01,100.96834999486
1989-01-01,101.111207608214
1989-02-01,101.090711230229
1989-03-01,100.943998280908
1989-04-01,100.743338348836
1989-05-01,100.610095071198
1989-06-01,100.577474253053
1989-07-01,100.627220912754
1989-08-01,100.710171821062
1989-09-01,100.865464747837
1989-10-01,100.847948857059
1989-11-01,100.721125079794
1989-12-01,100.645364703444
1990-01-01,100.64268477816
1990-02-01,100.624235377083
1990-03-01,100.694686497328
1990-04-01,100.748287695081
1990-05-01,100.615645987858
1990-06-01,100.323899911485
1990-07-01,99.8311080193885
1990-08-01,99.0404245413255
1990-09-01,98.2808229964473
1990-10-01,97.6737227460383
1990-11-01,97.4581324933788
1990-12-01,97.5236737006455
1991-01-01,97.8796047011628
1991-02-01,98.5289380969953
1991-03-01,99.2693973857968
1991-04-01,99.4785416099928
1991-05-01,99.4611183398554
1991-06-01,99.5278909866441
1991-07-01,99.590672306757
1991-08-01,99.5541463580127
1991-09-01,99.3496334117633
1991-10-01,98.8630013903848
1991-11-01,98.2598616038085
1991-12-01,97.9049916565743
1992-01-01,97.8551935638146
1992-02-01,98.1055491872337
1992-03-01,98.554740374671
1992-04-01,98.9115809640479
1992-05-01,99.1147416859603
1992-06-01,99.1207289226398
1992-07-01,98.9420895666052
1992-08-01,98.7862431323212
1992-09-01,98.7755265091618
1992-10-01,99.0426990005533
1992-11-01,99.6813175519927
1992-12-01,100.200993842008
1993-01-01,100.336969214102
1993-02-01,100.218330291343
1993-03-01,100.026872860789
1993-04-01,99.7898972624921
1993-05-01,99.4871878668498
1993-06-01,99.2517838358191
1993-07-01,99.0330697300648
1993-08-01,98.9769988883281
1993-09-01,99.1017349769128
1993-10-01,99.3899276685065
1993-11-01,99.736386227765
1993-12-01,100.239164213071
1994-01-01,100.672076731855
1994-02-01,100.826701987258
1994-03-01,100.815633780073
1994-04-01,100.785105184025
1994-05-01,100.720896009484
1994-06-01,100.611612468818
1994-07-01,100.537032908993
1994-08-01,100.584298887788
1994-09-01,100.656992594998
1994-10-01,100.753714407401
1994-11-01,100.871252623493
1994-12-01,101.05268099942
1995-01-01,101.137069463578
1995-02-01,101.000445506675
1995-03-01,100.773112693273
1995-04-01,100.674567642986
1995-05-01,100.661555450535
1995-06-01,100.792116874648
1995-07-01,100.912756996756
1995-08-01,100.877863888695
1995-09-01,100.634229234074
1995-10-01,100.473170458849
1995-11-01,100.393181016881
1995-12-01,100.417876792534
1996-01-01,100.434619962072
1996-02-01,100.5077350308
1996-03-01,100.656604920043
1996-04-01,100.686009666199
